tik,uik #,coords
29,2148,"{""lng"": 30.428510, ""lat"": 59.831169}"
29,2149,"{""lng"": 30.428510, ""lat"": 59.831169}"
29,2150,"{""lng"": 30.401814, ""lat"": 59.838529}"
29,2151,"{""lng"": 30.401814, ""lat"": 59.838529}"
29,2152,"{""lng"": 30.396776, ""lat"": 59.835609}"
29,2153,"{""lng"": 30.396776, ""lat"": 59.835609}"
29,2154,"{""lng"": 30.396776, ""lat"": 59.835609}"
29,2155,"{""lng"": 30.386481, ""lat"": 59.833507}"
29,2156,"{""lng"": 30.408425, ""lat"": 59.831957}"
29,2157,"{""lng"": 30.408425, ""lat"": 59.831957}"
29,2158,"{""lng"": 30.408425, ""lat"": 59.831957}"
29,2159,"{""lng"": 30.402450, ""lat"": 59.831185}"
29,2160,"{""lng"": 30.402450, ""lat"": 59.831185}"
29,2161,"{""lng"": 30.402450, ""lat"": 59.831185}"
29,2162,"{""lng"": 30.411434, ""lat"": 59.828925}"
29,2163,"{""lng"": 30.411434, ""lat"": 59.828925}"
29,2164,"{""lng"": 30.411434, ""lat"": 59.828925}"
29,2165,"{""lng"": 30.403617, ""lat"": 59.825622}"
29,2166,"{""lng"": 30.403617, ""lat"": 59.825622}"
29,2167,"{""lng"": 30.403617, ""lat"": 59.825622}"
29,2168,"{""lng"": 30.386481, ""lat"": 59.833507}"
29,2169,"{""lng"": 30.386481, ""lat"": 59.833513}"
29,2170,"{""lng"": 30.389537, ""lat"": 59.830902}"
29,2171,"{""lng"": 30.389537, ""lat"": 59.830902}"
29,2172,"{""lng"": 30.389537, ""lat"": 59.830902}"
29,2173,"{""lng"": 30.394236, ""lat"": 59.826464}"
29,2174,"{""lng"": 30.394236, ""lat"": 59.826464}"
29,2175,"{""lng"": 30.396351, ""lat"": 59.844006}"
29,2176,"{""lng"": 30.412577, ""lat"": 59.847871}"
29,2177,
29,2178,
29,2179,
30,2233,"{""lng"": 30.360986, ""lat"": 59.944805}"
30,2234,"{""lng"": 30.360986, ""lat"": 59.944805}"
30,2235,"{""lng"": 30.360787, ""lat"": 59.944243}"
30,2236,"{""lng"": 30.369499, ""lat"": 59.948996}"
30,2237,"{""lng"": 30.378005, ""lat"": 59.949370}"
30,2238,"{""lng"": 30.383152, ""lat"": 59.945819}"
30,2239,"{""lng"": 30.390760, ""lat"": 59.944923}"
30,2240,"{""lng"": 30.390760, ""lat"": 59.944923}"
30,2241,"{""lng"": 30.360787, ""lat"": 59.944243}"
30,2242,"{""lng"": 30.363015, ""lat"": 59.944100}"
30,2243,"{""lng"": 30.379792, ""lat"": 59.943061}"
30,2244,"{""lng"": 30.381196, ""lat"": 59.939815}"
30,2245,"{""lng"": 30.356986, ""lat"": 59.937489}"
30,2246,"{""lng"": 30.359179, ""lat"": 59.934191}"
30,2247,"{""lng"": 30.368830, ""lat"": 59.936785}"
30,2248,"{""lng"": 30.381196, ""lat"": 59.939815}"
30,2249,"{""lng"": 30.368830, ""lat"": 59.936785}"
30,2250,"{""lng"": 30.368566, ""lat"": 59.935977}"
30,2251,"{""lng"": 30.359179, ""lat"": 59.934191}"
30,2252,"{""lng"": 30.366614, ""lat"": 59.936434}"
30,2253,"{""lng"": 30.368566, ""lat"": 59.935977}"
30,2254,"{""lng"": 30.372236, ""lat"": 59.930263}"
30,2255,"{""lng"": 30.372236, ""lat"": 59.930263}"
30,2256,"{""lng"": 30.378192, ""lat"": 59.936097}"
30,2257,"{""lng"": 30.382476, ""lat"": 59.937387}"
30,2258,"{""lng"": 30.382061, ""lat"": 59.933857}"
30,2259,"{""lng"": 30.378192, ""lat"": 59.936097}"
30,2260,"{""lng"": 30.377399, ""lat"": 59.929418}"
30,2261,"{""lng"": 30.377399, ""lat"": 59.929418}"
30,2262,"{""lng"": 30.382034, ""lat"": 59.924276}"
30,2263,"{""lng"": 30.366442, ""lat"": 59.928944}"
30,2264,"{""lng"": 30.369780, ""lat"": 59.926407}"
30,2265,"{""lng"": 30.382034, ""lat"": 59.924276}"
30,2266,"{""lng"": 30.357958, ""lat"": 59.922120}"
30,2267,"{""lng"": 30.355519, ""lat"": 59.915984}"
30,2268,"{""lng"": 30.355519, ""lat"": 59.915984}"
30,2269,
30,2270,
30,2271,
